Lp.;Nr_umowy;Data poczatku okresu ubezpieczenia;Data konca okresu ubezpieczenia;SU_v_PML;Odnow;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo;Adres_Kraj;ReasekuracjaO;ReasekuracjaF
486;M1009221510;30.03.2021;29.03.2022;70000;TAK;Kpt. Władysława Raginisa 8;01-317;Warszawa;mazowieckie;Polska;1,2;
487;M10092433104;07.07.2021;06.07.2022;420000;TAK;Sołtysia 60k;40-748;Katowice;śląskie;Polska;1,2;
488;M10092434804;07.07.2021;06.07.2022;265000;TAK;Bojszowska 4;43-150;Bieruń;śląskie;Polska;1,2;
489;M1009250710;11.04.2021;10.04.2022;440000;TAK;Aleje Jerozolimskie 141;02-304;Warszawa;mazowieckie;Polska;1,2;
490;M10092895304;01.08.2021;31.07.2022;820000;TAK;Czereśniowa 33;02-457;Warszawa;mazowieckie;Polska;1,2;
491;M10092901104;10.07.2021;09.07.2022;350000;TAK;Pogodna 7;06-200;Maków Mazowiecki;mazowieckie;Polska;1,2;
492;M10092997104;01.10.2021;30.09.2022;390000;TAK;Zelki 25;11-510;Zelki;warmińsko-mazurskie;Polska;1,2;
493;M10093541104;07.07.2021;06.07.2022;250000;TAK;Sportowa 14;41-800;Zabrze;śląskie;Polska;1,2;
494;M10094542004;29.07.2021;28.07.2022;165000;TAK;Stryjeńskiej 4/6;42-217;Częstochowa;śląskie;Polska;1,2;
495;M10094626004;07.07.2021;06.07.2022;830000;TAK;Katarzyńska 86L;62-006;Gruszczyn;wielkopolskie;Polska;1,2;
496;M10095761204;07.07.2021;06.07.2022;125000;TAK;ks. Czesława Klimasa 39d;50-515;Wrocław;dolnośląskie;Polska;1,2;
497;M10095907004;08.07.2021;07.07.2022;310000;TAK;Marii Konopnickiej 6;21-400;Łuków;lubelskie;Polska;1,2;
498;M1009698110;08.04.2021;07.04.2022;90000;TAK;Nawrockiego 28;95-200;Pabianice;łódzkie;Polska;1,2;
499;M10097206404;17.07.2021;16.07.2022;260000;TAK;Biała Niżna 44;33-330;Biała Niżna;małopolskie;Polska;1,2;
500;M10097795004;26.08.2021;25.08.2022;160000;TAK;Łopata 11;27-532;Łopata;świętokrzyskie;Polska;1,2;
501;M10097888504;08.07.2021;07.07.2022;275000;TAK;Olszanka 32;16-150;Olszanka;podlaskie;Polska;1,2;
502;M10098287404;01.08.2021;31.07.2022;400000;TAK;Wodna 21;43-332;Pisarzowice;śląskie;Polska;1,2;
503;M10098576604;08.07.2021;07.07.2022;350000;TAK;Hugona Kołłątaja 11/12;50-006;Wrocław;dolnośląskie;Polska;1,2;
504;M10098974804;12.07.2021;11.07.2022;1050000;TAK;Edwarda Dembowskiego 17A;02-784;Warszawa;mazowieckie;Polska;1,2;
505;M1009973510;09.04.2021;08.04.2022;340000;TAK;Dworcowa 27;47-340;Twardawa;opolskie;Polska;1,2;
506;M1009987610;15.04.2021;14.04.2022;340000;TAK;Miłkowskiego Zygmunta 14;30-349;Kraków;małopolskie;Polska;1,2;
507;M10099876604;15.07.2021;14.07.2022;430000;TAK;Władysława Biegańskiego 21c;80-807;Gdańsk;pomorskie;Polska;1,2;
508;M10100183004;10.08.2021;09.08.2022;150000;TAK;Lasków 72;28-300;Lasków;świętokrzyskie;Polska;1,2;
509;M10100346104;19.07.2021;18.07.2022;140000;TAK;Wrzosowa 14;08-110;Rakowiec;mazowieckie;Polska;1,2;
510;M1010039210;02.04.2021;01.04.2022;270000;TAK;Stańczyka 10;30-126;Kraków;małopolskie;Polska;1,2;
511;M10100995804;08.07.2021;07.07.2022;174000;TAK;Szewska 12A;67-200;Głogów;dolnośląskie;Polska;1,2;
512;M1010102810;01.09.2021;31.08.2022;440000;TAK;Radomska 20;02-323;Warszawa;mazowieckie;Polska;1,2;
513;M10101196204;20.07.2021;19.07.2022;220000;TAK;Antoniukowska 5a;15-740;Białystok;podlaskie;Polska;1,2;
514;M10101225404;14.07.2021;13.07.2022;300000;TAK;Jeziorna 37F;84-230;Rumia;pomorskie;Polska;1,2;
515;M10101233804;08.07.2021;07.07.2022;200000;TAK;Długa 20b;05-307;Wólka Kobylańska;mazowieckie;Polska;1,2;
516;M10101235604;11.07.2021;10.07.2022;160000;TAK;Gen. Grota-Roweckiego 11;41-808;Zabrze;śląskie;Polska;1,2;
517;M10101237804;15.07.2021;14.07.2022;675000;TAK;Aleja gen. Władysława Sikorskiego 9a;02-758;Warszawa;mazowieckie;Polska;1,2;
518;M10101247904;11.07.2021;10.07.2022;600000;TAK;Krucza 1;62-100;Wągrowiec-Osada;wielkopolskie;Polska;1,2;
519;M10101284204;08.07.2021;07.07.2022;230000;TAK;Topolowa 1;62-241;Żydowo;wielkopolskie;Polska;1,2;
520;M10101457304;01.08.2021;31.07.2022;186000;TAK;Henryka Wieniawskiego 20A;68-200;Żary;lubuskie;Polska;1,2;
521;M10101523904;26.07.2021;25.07.2022;280000;TAK;Zamkowa 17;77-300;Człuchów;pomorskie;Polska;1,2;
522;M10101548704;08.07.2021;07.07.2022;290000;TAK;Klonowa 1A;16-020;Czarna Białostocka;podlaskie;Polska;1,2;
523;M10101916504;08.07.2021;07.07.2022;328000;TAK;Cyganka 39;96-315;Cyganka;mazowieckie;Polska;1,2;
524;M10101932304;01.08.2021;31.07.2022;470000;TAK;Sezamkowa 3;05-074;Cisie;mazowieckie;Polska;1,2;
525;M10102111504;10.07.2021;09.07.2022;220000;TAK;Za Cytadelą 122;61-659;Poznań;wielkopolskie;Polska;1,2;
526;M10102188204;11.07.2021;10.07.2022;272000;TAK;Szymony 7;34-500;Zakopane;małopolskie;Polska;1,2;
527;M10102726404;08.07.2021;07.07.2022;575000;TAK;Mokra 1;43-227;Góra;śląskie;Polska;1,2;
528;M10102740704;25.08.2021;24.08.2022;470000;TAK;Brzóza Królewska 735F;37-307;Brzóza Królewska;podkarpackie;Polska;1,2;
529;M10102743604;09.07.2021;08.07.2022;420000;TAK;Gliniana 6;95-030;Rzgów;łódzkie;Polska;1,2;
530;M10102745304;11.07.2021;10.07.2022;210000;TAK;Gabrieli Zapolskiej 27;25-435;Kielce;świętokrzyskie;Polska;1,2;
531;M10102746504;11.07.2021;10.07.2022;300000;TAK;Czarodziejska 6;05-870;Bramki;mazowieckie;Polska;1,2;
532;M10103020704;10.07.2021;09.07.2022;230000;TAK;Juliusza Słowackiego 1;06-200;Maków Mazowiecki;mazowieckie;Polska;1,2;
533;M10103630304;08.07.2021;07.07.2022;220600;TAK;Jaśminowa 2D;89-600;Chojnice;pomorskie;Polska;1,2;
534;M10104197204;11.07.2021;10.07.2022;390000;TAK;Obrońców Wybrzeża 15;80-398;Gdańsk;pomorskie;Polska;1,2;
535;M1010427710;01.04.2021;31.03.2022;120000;TAK;Władysława Korotyńskiego 17;02-123;Warszawa;mazowieckie;Polska;1,2;
536;M10104372304;13.07.2021;12.07.2022;140000;TAK;Jawidz 47B;21-077;Jawidz;lubelskie;Polska;1,2;
537;M10104372804;11.07.2021;10.07.2022;1050000;TAK;Stawki 2A;00-193;Warszawa;mazowieckie;Polska;1,2;
538;M10104468404;08.07.2021;07.07.2022;370000;TAK;Henryka Sienkiewicza 27;87-100;Toruń;kujawsko-pomorskie;Polska;1,2;
539;M10105226404;11.07.2021;10.07.2022;165000;TAK;Słowackiego 12;64-920;Piła;wielkopolskie;Polska;1,2;
540;M10105332204;08.07.2021;07.07.2022;402000;TAK;Jeziorna 72;83-261;Lubiki;pomorskie;Polska;1,2;
541;M10105371504;10.07.2021;09.07.2022;260000;TAK;Książkowa 7A;03-134;Warszawa;mazowieckie;Polska;1,2;
542;M1010566010;08.04.2021;07.04.2022;350000;TAK;Bohaterów Września 6;02-389;Warszawa;mazowieckie;Polska;1,2;
543;M1010678110;20.06.2021;19.06.2022;240000;TAK;Krowoderskich Zuchów 14;31-272;Kraków;małopolskie;Polska;1,2;
544;M10107136104;08.07.2021;07.07.2022;360000;TAK;Skowronków 4a;58-500;Jelenia Góra;dolnośląskie;Polska;1,2;
545;M1010757010;06.04.2021;05.04.2022;225000;TAK;Francuska 4;42-612;Tarnowskie Góry;śląskie;Polska;1,2;
546;M10109161104;09.07.2021;08.07.2022;620000;TAK;Sochaczewska 1E;80-407;Gdańsk;pomorskie;Polska;1,2;
547;M10109821104;16.07.2021;15.07.2022;335000;TAK;Jabłoniowa 9;77-116;Czarna Dąbrówka;pomorskie;Polska;1,2;
548;M10110089204;09.07.2021;08.07.2022;350000;TAK;Robotnicza 32;68-300;Lubsko;lubuskie;Polska;1,2;
549;M1011034710;01.08.2021;31.07.2022;220000;TAK;Babimojska 1;60-161;Poznań;wielkopolskie;Polska;1,2;
550;M10110945204;09.08.2021;08.08.2022;440000;TAK;Jana Pawła II 54E/1;05-250;Radzymin;mazowieckie;Polska;1,2;
551;M10110947404;19.08.2021;18.08.2022;410000;TAK;Kruhlik 104;17-220;Tarnopol;podlaskie;Polska;1,2;
552;M10110951304;15.07.2021;14.07.2022;150000;TAK;Koralowa 7;43-200;Pszczyna;śląskie;Polska;1,2;
553;M10110951504;12.07.2021;11.07.2022;630000;TAK;Cytrynowa 82;60-185;Skórzewo;wielkopolskie;Polska;1,2;
554;M10110958404;11.07.2021;10.07.2022;380000;TAK;Henryka i Karola Czeczów 20;30-798;Kraków;małopolskie;Polska;1,2;
555;M10110959004;11.07.2021;10.07.2022;590000;TAK;Szkolna 78B;05-270;Marki;mazowieckie;Polska;1,2;
556;M10110966204;13.07.2021;12.07.2022;550000;TAK;Powstańców Śląskich 85;01-355;Warszawa;mazowieckie;Polska;1,2;
557;M10111346304;10.07.2021;09.07.2022;204600;TAK;Marmurowa 30;05-110;Jabłonna;mazowieckie;Polska;1,2;
558;M10112196504;09.07.2021;08.07.2022;301000;TAK;Magazynowa 11A;02-652;Warszawa;mazowieckie;Polska;1,2;
559;M1011221510;01.04.2021;31.03.2022;620000;TAK;Polna 62;81-740;Sopot;pomorskie;Polska;1,2;
560;M10112700404;11.07.2021;10.07.2022;176000;TAK;Północna 23;09-402;Płock;mazowieckie;Polska;1,2;
561;M10113096104;18.07.2021;17.07.2022;410000;TAK;Doliny Miętusiej 56;43-316;Bielsko-Biała;śląskie;Polska;1,2;
562;M1011341810;10.06.2021;09.06.2022;160000;TAK;Orla 48;59-300;Lubin;dolnośląskie;Polska;1,2;
563;M10113821004;19.07.2021;18.07.2022;240000;TAK;Juliusza Słowackiego 18a;05-124;Kałuszyn;mazowieckie;Polska;1,2;
564;M1011440210;08.04.2021;07.04.2022;330000;TAK;Konspiracji 6b;05-840;Brwinów;mazowieckie;Polska;1,2;
565;M10114690504;09.07.2021;08.07.2022;650000;TAK;Koszykowa 47;00-659;Warszawa;mazowieckie;Polska;1,2;
566;M10114717704;04.08.2021;03.08.2022;250000;TAK;Zarzecze 50;39-120;Sędziszów Małopolski;podkarpackie;Polska;1,2;
567;M1011658810;17.06.2021;16.06.2022;360000;TAK;Leśna 17E;05-110;Jabłonna;mazowieckie;Polska;1,2;
568;M10117671104;01.08.2021;31.07.2022;255000;TAK;Antoniego Kaliny 27;71-118;Szczecin;zachodniopomorskie;Polska;1,2;
569;M10117686404;11.07.2021;10.07.2022;423000;TAK;Górska 14A;44-290;Jejkowice;śląskie;Polska;1,2;
570;M1011806610;15.04.2021;14.04.2022;551000;TAK;Działkowa 45;10-861;Olsztyn;warmińsko-mazurskie;Polska;1,2;
571;M10118847204;02.08.2021;01.08.2022;430000;TAK;Obywatelska 7;02-409;Warszawa;mazowieckie;Polska;1,2;
572;M10118847804;14.07.2021;13.07.2022;380000;TAK;Juliana Fałata 9;62-050;Mosina;wielkopolskie;Polska;1,2;
573;M10118855104;15.08.2021;14.08.2022;80000;TAK;Heleny Trzcińskiej 1;97-300;Piotrków Trybunalski;łódzkie;Polska;1,2;
574;M1011935010;13.04.2021;12.04.2022;370000;TAK;Michała Kleofasa Ogińskiego 30;03-357;Warszawa;mazowieckie;Polska;1,2;
575;M1011939410;15.04.2021;14.04.2022;650000;TAK;Alternatywy 4;02-775;Warszawa;mazowieckie;Polska;1,2;
576;M1011945510;08.04.2021;07.04.2022;310000;TAK;Książenicka 27A;05-807;Owczarnia;mazowieckie;Polska;1,2;
577;M1011966510;15.04.2021;14.04.2022;440000;TAK;Szymona Askenazego 2;03-580;Warszawa;mazowieckie;Polska;1,2;
578;M1012033810;24.04.2021;23.04.2022;70000;TAK;Anny Jagiellonki 3;92-414;Łódź;łódzkie;Polska;1,2;
579;M1012034610;13.04.2021;12.04.2022;160000;TAK;Poniecka 2;02-310;Warszawa;mazowieckie;Polska;1,2;
580;M10120742004;11.07.2021;10.07.2022;300000;TAK;Niezłomnych 31;62-030;Luboń;wielkopolskie;Polska;1,2;
581;M10122229904;15.07.2021;14.07.2022;320000;TAK;Koński Jar 8;02-785;Warszawa;mazowieckie;Polska;1,2;
582;M10122240004;16.07.2021;15.07.2022;155000;TAK;Przemysłowa 1;75-216;Koszalin;zachodniopomorskie;Polska;1,2;
583;M10122249004;19.07.2021;18.07.2022;275000;TAK;Ceglana 14;05-800;Pruszków;mazowieckie;Polska;1,2;
584;M10122378204;11.07.2021;10.07.2022;325000;TAK;Adama Mickiewicza 4;63-930;Jutrosin;wielkopolskie;Polska;1,2;
585;M10123431704;11.07.2021;10.07.2022;350000;TAK;Swojska 2;70-781;Szczecin;zachodniopomorskie;Polska;1,2;
586;M10123483404;12.07.2021;11.07.2022;155000;TAK;Piotra Ściegiennego 4;85-621;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;
587;M1012394110;06.07.2021;05.07.2022;524000;TAK;Okrzei 5;58-250;Pieszyce;dolnośląskie;Polska;1,2;
588;M1012419610;22.05.2021;21.05.2022;540000;TAK;Karpacka 9;41-907;Bytom;śląskie;Polska;1,2;
589;M10124261804;28.07.2021;27.07.2022;412000;TAK;Czatkowska 3E;83-110;Tczewskie Łąki;pomorskie;Polska;1,2;
590;M10124282804;23.07.2021;22.07.2022;220000;TAK;Kamiennogórska 5e;60-179;Poznań;wielkopolskie;Polska;1,2;
591;M10124293504;12.08.2021;11.08.2022;430000;TAK;Synów Pułku 12;01-354;Warszawa;mazowieckie;Polska;1,2;
592;M10124709804;11.07.2021;10.07.2022;350000;TAK;Australijska 12;81-116;Gdynia;pomorskie;Polska;1,2;
593;M10125479104;13.08.2021;12.08.2022;600000;TAK;Błońska 5A;05-200;Wołomin;mazowieckie;Polska;1,2;
594;M10125648204;11.07.2021;10.07.2022;295000;TAK;Łężyca-Inżynierska 3b;66-016;Zielona Góra;lubuskie;Polska;1,2;
595;M10125651904;12.07.2021;11.07.2022;750000;TAK;Główna 1J;62-090;Krzyszkowo;wielkopolskie;Polska;1,2;
596;M10125653104;11.07.2021;10.07.2022;260000;TAK;Dworska 52;32-300;Olkusz;małopolskie;Polska;1,2;
597;M10125824804;11.07.2021;10.07.2022;490000;TAK;Sokołowska 9;01-142;Warszawa;mazowieckie;Polska;1,2;
598;M10125844104;11.07.2021;10.07.2022;220000;TAK;Henryka Sienkiewicza 34B;97-400;Bełchatów;łódzkie;Polska;1,2;
599;M10126129304;17.07.2021;16.07.2022;300000;TAK;Różana 21;86-120;Pruszcz;kujawsko-pomorskie;Polska;1,2;
600;M10126129904;17.07.2021;16.07.2022;265000;TAK;Jagodowa 19;55-330;Lutynia;dolnośląskie;Polska;1,2;
601;M10126135104;20.07.2021;19.07.2022;845000;TAK;Międzyrzecka 9c;50-421;Wrocław;dolnośląskie;Polska;1,2;
602;M10126138204;29.07.2021;28.07.2022;120000;TAK;Kosowska 40;26-612;Radom;mazowieckie;Polska;1,2;
603;M10126142304;18.07.2021;17.07.2022;500000;TAK;Czerniakowska 139;00-453;Warszawa;mazowieckie;Polska;1,2;
604;M10126143504;15.07.2021;14.07.2022;420000;TAK;Graniczna 109;32-085;Giebułtów;małopolskie;Polska;1,2;
605;M10126524404;05.08.2021;04.08.2022;235000;TAK;Kameralna 9;20-864;Lublin;lubelskie;Polska;1,2;
606;M1012666510;17.04.2021;16.04.2022;700000;TAK;Rzeźbiarska 51B;04-620;Warszawa;mazowieckie;Polska;1,2;
607;M1012669710;20.04.2021;19.04.2022;660000;TAK;Aleja Henryka Sienkiewicza 102;05-126;Nieporęt;mazowieckie;Polska;1,2;
608;M10126699704;11.07.2021;10.07.2022;700000;TAK;Jagiellońska 6;03-721;Warszawa;mazowieckie;Polska;1,2;
609;M10127134104;19.07.2021;18.07.2022;215000;TAK;Jana III Sobieskiego 28;60-688;Poznań;wielkopolskie;Polska;1,2;
610;M1012727210;05.04.2021;04.04.2022;150000;TAK;Magnacka 3;60-685;Poznań;wielkopolskie;Polska;1,2;
611;M10127349204;11.08.2021;10.08.2022;260000;TAK;Kościelna 35;64-300;Wytomyśl;wielkopolskie;Polska;1,2;
612;M1012736710;09.04.2021;08.04.2022;600000;TAK;Czerniakowska 56;00-717;Warszawa;mazowieckie;Polska;1,2;
613;M10127717004;12.07.2021;11.07.2022;360000;TAK;Dębowa 54;05-100;Nowy Dwór Mazowiecki;mazowieckie;Polska;1,2;
614;M1012798710;09.08.2021;08.08.2022;540000;TAK;Długa 262;08-410;Wola Rębkowska;mazowieckie;Polska;1,2;
615;M10128026804;11.07.2021;10.07.2022;685000;TAK;Cynamonowa 5D;05-500;Zamienie;mazowieckie;Polska;1,2;
616;M10128034804;24.07.2021;23.07.2022;115000;TAK;Ziemowita 1;58-500;Jelenia Góra;dolnośląskie;Polska;1,2;
617;M10128614804;14.07.2021;13.07.2022;510000;TAK;ks. Piotra Ściegiennego 29;70-354;Szczecin;zachodniopomorskie;Polska;1,2;
618;M1012895110;08.04.2021;07.04.2022;220000;TAK;Obrońców Westerplatte 6f;41-710;Ruda Śląska;śląskie;Polska;1,2;
619;M1012896510;06.04.2021;05.04.2022;70000;TAK;Nowoursynowska 145F;02-776;Warszawa;mazowieckie;Polska;1,2;
620;M10129526804;11.07.2021;10.07.2022;350000;TAK;Szczukowice 55;26-065;Szczukowice;świętokrzyskie;Polska;1,2;
621;M10129529704;13.07.2021;12.07.2022;160000;TAK;Wojciecha Bogusławskiego 20;01-923;Warszawa;mazowieckie;Polska;1,2;
622;M10129812704;11.07.2021;10.07.2022;264000;TAK;Odkryta 44K;03-140;Warszawa;mazowieckie;Polska;1,2;
623;M10129815604;15.07.2021;14.07.2022;370000;TAK;Władysława Reymonta 2;62-800;Kalisz;wielkopolskie;Polska;1,2;
624;M10129839404;29.07.2021;28.07.2022;550000;TAK;Cisowa 8/1;62-023;Dachowa;wielkopolskie;Polska;1,2;
625;M10130231604;11.07.2021;10.07.2022;293140;TAK;Św. Bonifacego 75;02-936;Warszawa;mazowieckie;Polska;1,2;
626;M10130233904;15.07.2021;14.07.2022;475000;TAK;Wilczak 13;61-623;Poznań;wielkopolskie;Polska;1,2;
627;M10130246404;12.07.2021;11.07.2022;485000;TAK;Konrada Sitki 25A;41-810;Zabrze;śląskie;Polska;1,2;
628;M10130252704;15.07.2021;14.07.2022;220000;TAK;Bolesława Chrobrego 6;89-100;Nakło nad Notecią;kujawsko-pomorskie;Polska;1,2;
629;M10130259604;12.07.2021;11.07.2022;255000;TAK;Przemysłowa 12/2;08-500;Ryki;lubelskie;Polska;1,2;
630;M10130749404;11.07.2021;10.07.2022;415000;TAK;Ułanów 60;31-460;Kraków;małopolskie;Polska;1,2;
631;M10131342704;13.07.2021;12.07.2022;525000;TAK;Ogrodniki 159;07-132;Ogrodniki;mazowieckie;Polska;1,2;
632;M10131914304;20.07.2021;19.07.2022;220000;TAK;Dąbrowszczaków 26;62-020;Swarzędz;wielkopolskie;Polska;1,2;
633;M1013211410;11.04.2021;10.04.2022;1060000;TAK;Człuchowska 2a;01-100;Warszawa;mazowieckie;Polska;1,2;
634;M10132137604;18.07.2021;17.07.2022;270000;TAK;ks. Pawła Macierzyńskiego 56;43-150;Bieruń;śląskie;Polska;1,2;
635;M1013217010;06.04.2021;05.04.2022;290000;TAK;Poznańska 1d;71-785;Szczecin;zachodniopomorskie;Polska;1,2;
636;M10132200104;11.07.2021;10.07.2022;710000;TAK;Belgradzka 3;02-793;Warszawa;mazowieckie;Polska;1,2;
637;M1013246210;06.05.2021;05.05.2022;268000;TAK;Rydzowa 4;91-211;Łódź;łódzkie;Polska;1,2;
638;M1013260010;10.04.2021;09.04.2022;560000;TAK;Skałowo 18;62-025;Skałowo;wielkopolskie;Polska;1,2;
639;M10132625404;12.07.2021;11.07.2022;233000;TAK;Hawelańska 13;61-625;Poznań;wielkopolskie;Polska;1,2;
640;M10132701704;11.07.2021;10.07.2022;50000;TAK;Stefana Jaracza 58;90-249;Łódź;łódzkie;Polska;1,2;
641;M10132712204;12.07.2021;11.07.2022;510000;TAK;Kawnicka 30;62-530;Bielawy;wielkopolskie;Polska;1,2;
642;M10133162404;11.07.2021;10.07.2022;370000;TAK;Biczyce Górne 185;33-395;Biczyce Górne;małopolskie;Polska;1,2;
643;M10133473504;03.10.2021;02.10.2022;368000;TAK;Wincentego Weryhy-Darowskiego 13;30-198;Kraków;małopolskie;Polska;1,2;
644;M10133476204;15.08.2021;14.08.2022;450000;TAK;Nowowiejska 38a;06-500;Mława;mazowieckie;Polska;1,2;
645;M10133487304;13.07.2021;12.07.2022;750000;TAK;Górna 21E;05-077;Zakręt;mazowieckie;Polska;1,2;
646;M10133493404;12.07.2021;11.07.2022;166000;TAK;Ludwika Kondratowicza 4c;03-242;Warszawa;mazowieckie;Polska;1,2;
647;M10133494404;12.07.2021;11.07.2022;400000;TAK;Księcia Józefa Poniatowskiego 38;74-505;Mieszkowice;zachodniopomorskie;Polska;1,2;
648;M10133494704;12.07.2021;11.07.2022;500000;TAK;Wczasowa 28;76-200;Bydlino;pomorskie;Polska;1,2;
649;M10133923304;31.07.2021;30.07.2022;302000;TAK;Floriana Stablewskiego 12;60-213;Poznań;wielkopolskie;Polska;1,2;
650;M10134233704;17.08.2021;16.08.2022;195000;TAK;Koniczyny 34a;05-850;Kręczki;mazowieckie;Polska;1,2;
651;M1013427110;23.08.2021;22.08.2022;520000;TAK;Modra 1;84-200;Wejherowo;pomorskie;Polska;1,2;
652;M10134727204;12.07.2021;11.07.2022;140000;TAK;Kaszewo 2;73-231;Kaszewo;zachodniopomorskie;Polska;1,2;
653;M10134763704;11.07.2021;10.07.2022;450000;TAK;Sportowa 26A;08-440;Pilawa;mazowieckie;Polska;1,2;
654;M1013485210;01.05.2021;30.04.2022;525000;TAK;Sosnowiecka 23;01-496;Warszawa;mazowieckie;Polska;1,2;
655;M1013523310;05.06.2021;04.06.2022;200000;TAK;Zarzeczna 95;34-120;Roczyny;małopolskie;Polska;1,2;
656;M10135393204;19.07.2021;18.07.2022;385000;TAK;Międzynarodowa 52/54a;03-922;Warszawa;mazowieckie;Polska;1,2;
657;M10135418304;12.07.2021;11.07.2022;320000;TAK;Doktora Rostka 2;44-230;Czerwionka-Leszczyny;śląskie;Polska;1,2;
658;M1013680310;06.04.2021;05.04.2022;388000;TAK;Skarbka z Gór 118;03-287;Warszawa;mazowieckie;Polska;1,2;
659;M10137119604;12.07.2021;11.07.2022;150000;TAK;Niemiecka 28;64-100;Leszno;wielkopolskie;Polska;1,2;
660;M10137494604;17.07.2021;16.07.2022;550000;TAK;Stefana Czarnieckiego 78A;44-300;Wodzisław Śląski;śląskie;Polska;1,2;
661;M10137731304;12.07.2021;11.07.2022;440000;TAK;Dąbie 5B;39-311;Dąbie;podkarpackie;Polska;1,2;
662;M10138163604;13.07.2021;12.07.2022;366000;TAK;Lotnicza 145;54-132;Wrocław;dolnośląskie;Polska;1,2;
663;M10138211004;14.07.2021;13.07.2022;200000;TAK;Długa 18/4;05-220;Zielonka;mazowieckie;Polska;1,2;
664;M10138211704;12.07.2021;11.07.2022;320000;TAK;Wolności 1;40-749;Katowice;śląskie;Polska;1,2;
665;M10138221004;15.07.2021;14.07.2022;540000;TAK;Jana Ostroroga 29;01-163;Warszawa;mazowieckie;Polska;1,2;
666;M10138221504;15.07.2021;14.07.2022;215000;TAK;Płocka 50;01-173;Warszawa;mazowieckie;Polska;1,2;
667;M10138227104;15.07.2021;14.07.2022;520000;TAK;Krokusowa 3;48-385;Otmuchów;opolskie;Polska;1,2;
668;M10138238104;14.07.2021;13.07.2022;450000;TAK;Jaworowa 18;62-069;Dąbrówka;wielkopolskie;Polska;1,2;
669;M1013851910;01.05.2021;30.04.2022;340000;TAK;Michała Kleofasa Ogińskiego 13;03-318;Warszawa;mazowieckie;Polska;1,2;
670;M10138722304;12.07.2021;11.07.2022;635000;TAK;Solferino 19;04-431;Warszawa;mazowieckie;Polska;1,2;
671;M1013895110;10.04.2021;09.04.2022;300000;TAK;Elektryków 8;05-270;Marki;mazowieckie;Polska;1,2;
672;M10139083504;12.07.2021;11.07.2022;275000;TAK;Śniadeckich 5;08-110;Siedlce;mazowieckie;Polska;1,2;
673;M10139233404;12.07.2021;11.07.2022;600000;TAK;Rybnicka 41C;44-293;Szczerbice;śląskie;Polska;1,2;
674;M10139288204;12.07.2021;11.07.2022;510000;TAK;Makowa 3;99-400;Łowicz;łódzkie;Polska;1,2;
675;M1013991510;10.06.2021;09.06.2022;520000;TAK;Centralna 216;44-323;Połomia;śląskie;Polska;1,2;
676;M10140446004;12.07.2021;11.07.2022;505000;TAK;Aleksandra Gieysztora 6;02-999;Warszawa;mazowieckie;Polska;1,2;
677;M10140540104;12.07.2021;11.07.2022;210000;TAK;Piotra Michałowskiego 27;80-300;Gdańsk;pomorskie;Polska;1,2;
678;M10140545004;12.07.2021;11.07.2022;195000;TAK;Wzgórze 46;27-530;Ożarów;świętokrzyskie;Polska;1,2;
679;M10140790504;12.07.2021;11.07.2022;343200;TAK;Rokitno 119A;21-100;Rokitno;lubelskie;Polska;1,2;
680;M10140922604;12.07.2021;11.07.2022;400000;TAK;Podzamcze 65;21-010;Podzamcze;lubelskie;Polska;1,2;
681;M1014118210;09.07.2021;08.07.2022;1150000;TAK;Cybernetyki 13;02-677;Warszawa;mazowieckie;Polska;1,2;
682;M1014141510;10.05.2021;09.05.2022;360000;TAK;Gdańska 39;84-230;Rumia;pomorskie;Polska;1,2;
683;M1014152310;27.04.2021;26.04.2022;190000;TAK;Joanny 26c;41-703;Ruda Śląska;śląskie;Polska;1,2;
684;M10141691404;17.07.2021;16.07.2022;340000;TAK;Franciszka Kamińskiego 2;43-300;Bielsko-Biała;śląskie;Polska;1,2;
685;M1014176410;12.05.2021;11.05.2022;370000;TAK;Główna 42;05-533;Czachówek;mazowieckie;Polska;1,2;
686;M1014176610;18.07.2021;17.07.2022;70000;TAK;Zorzy Polarnej 3;05-509;Józefosław;mazowieckie;Polska;1,2;
687;M1014193310;27.04.2021;26.04.2022;410000;TAK;Czesława Miłosza 42;41-700;Ruda Śląska;śląskie;Polska;1,2;
688;M10141935204;12.07.2021;11.07.2022;60000;TAK;Świętosławska 2;04-059;Warszawa;mazowieckie;Polska;1,2;
689;M10141935404;12.07.2021;11.07.2022;60000;TAK;Igańska 24;04-087;Warszawa;mazowieckie;Polska;1,2;
690;M10141940504;29.08.2021;28.08.2022;500000;TAK;Generała Maczka 3;46-200;Kluczbork;opolskie;Polska;1,2;
691;M10141942104;29.07.2021;28.07.2022;520000;TAK;Jednorożca 59;80-299;Gdańsk;pomorskie;Polska;1,2;
692;M10141945104;16.07.2021;15.07.2022;310000;TAK;Bolesława Chrobrego 15;62-060;Stęszew;wielkopolskie;Polska;1,2;
693;M10141950304;14.07.2021;13.07.2022;360000;TAK;Honoriusza Balzaka 6S;52-437;Wrocław;dolnośląskie;Polska;1,2;
694;M10142087304;27.07.2021;26.07.2022;390000;TAK;Piasta Kołodzieja 9;67-200;Głogów;dolnośląskie;Polska;1,2;
